exchange,address
binance,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
binance,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c
binance,0x0681d8db095565fe8a346fa0277bffde9c0edbbf
binance,0x06a0048079ec6571cd1b537418869cde6191d42d
binance,0x141fef8cd8397a390afe94846c8bd6f4ab981c48
binance,0x19184ab45c40c2920b0e0e31413b9434abd243ed
binance,0x21a31ee1afc51d94c2efccaa2092ad1028285549
binance,0x28c6c06298d514db089934071355e5743bf21d60
binance,0x294b9b133ca7bc8ed2cdd03ba661a4c6d3a834d9
binance,0x2e581a5ae722207aa59acd3939771e7c7052dd3d
binance,0x2f7e209e0f5f645c7612d7610193fe268f118b28
binance,0x345d8e3a1f62ee6b1d483890976fd66168e390f2
binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be
binance,0x44592b81c05b4c35efb8424eb9d62538b949ebbf
binance,0x4976a4a02f38326660d17bf34b431dc6e2eb2327
binance,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b
binance,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67
binance,0x50d669f43b484166680ecc3670e4766cdb0945ce
binance,0x564286362092d8e7936f0549571a803b203aaced
binance,0x56eddb7aa87536c09ccc2793473599fd21a8b17f
binance,0x5d7f34372fa8708e09689d400a613eee67f75543
binance,0x5a52e96bacdabb82fd05763e25335261b270efcb
binance,0x708396f17127c42383e3b9014072679b2f60b82f
binance,0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e
binance,0x85b931a32a0725be14285b66f1a22178c672d69b
binance,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe
binance,0x8f22f2063d253846b53609231ed80fa571bc0c8f
binance,0x9696f59e4d72e237be84ffd425dcad154bf96976
binance,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8
binance,0xc3c8e0a39769e2308869f7461364ca48155d1d9e
binance,0xd551234ae421e3bcba99a0da6d736074f22192ff
binance,0xdfd5293d8e347dfe59e90efd55b2956a1343963d
binance,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7
binance,0xf977814e90da44bfa03b6295a0616a897441acec
binance,0xa344c7ada83113b3b56941f6e85bf2eb425949f3
binance,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3
binance,0xd9d93951896b4ef97d251334ef2a0e39f6f6d7d7
